concept_id,concept_name,vocabulary_id,domain_id
4244573,Tuberculosis of intestine,SNOMED,Condition
4251772,Tuberculosis of hilar lymph nodes,SNOMED,Condition
4251787,Tuberculosis of rectum,SNOMED,Condition
4260661,Tuberculous ascites,SNOMED,Condition
4261372,Tuberculous endometritis,SNOMED,Condition
4264207,Tuberculosis of myocardium,SNOMED,Condition
4266861,Tuberculous cervicitis,SNOMED,Condition
4269782,Chronic miliary tuberculosis,SNOMED,Condition
4273555,Tuberculous chancre,SNOMED,Condition
4282614,Tuberculosis of pericardium,SNOMED,Condition
4290195,Congenital tuberculosis,SNOMED,Condition
4290623,Tuberculous pyelitis,SNOMED,Condition
4294564,BCG-induced lupus vulgaris,SNOMED,Condition
4294565,BCG-induced scrofuloderma,SNOMED,Condition
4298868,BCG-induced tuberculide,SNOMED,Condition
4304867,Tuberculosis of lung with involvement of bronchus,SNOMED,Condition
4307131,Multidrug resistant tuberculosis,SNOMED,Condition
4308280,Tuberculosis of mediastinum,SNOMED,Condition
4308319,Extreme drug resistant tuberculosis,SNOMED,Condition
4309937,Caseating tuberculoid granuloma,SNOMED,Condition
4310093,Tuberculosis of tracheobronchial lymph nodes,SNOMED,Condition
4310580,"Tuberculosis, extrapulmonary",SNOMED,Condition
4311948,Tuberculous otitis media,SNOMED,Condition
4313871,Drug resistant tuberculosis,SNOMED,Condition
4339400,Tuberculosis orificialis of anus,SNOMED,Condition
4341241,Tuberculous duodenitis,SNOMED,Condition
4345213,Acute miliary cutaneous tuberculosis,SNOMED,Condition
4345697,Tuberculosis of gastrointestinal tract,SNOMED,Condition
4347434,Acute tuberculous ulcer,SNOMED,Condition
4347435,Cutaneous tuberculous gumma,SNOMED,Condition
36674821,Ghon complex,SNOMED,Condition
36713392,Tuberculous ulceration of vulva,SNOMED,Condition
36715939,Infection of musculoskeletal system caused by Mycobacterium tuberculosis,SNOMED,Condition
37019127,Lupus vulgaris of nose,SNOMED,Condition
37116831,Extrapulmonary tuberculosis co-occurrent with human immunodeficiency virus infection,SNOMED,Condition
37117202,Acute miliary tuberculosis of single site,SNOMED,Condition
37160371,Infection of multiple sites of spine caused by Mycobacterium tuberculosis,SNOMED,Condition
37160413,Tuberculous arthritis of hand caused by Mycobacterium tuberculosis,SNOMED,Condition
37160430,Infection of thoracolumbar region of spine caused by Mycobacterium tuberculosis,SNOMED,Condition
37160431,Infection of cervicothoracic region of spine caused by Mycobacterium tuberculosis,SNOMED,Condition
37160614,Tuberculous arthritis of shoulder region caused by Mycobacterium tuberculosis,SNOMED,Condition
37161088,Tuberculous posterior uveitis,SNOMED,Condition
37161111,Tuberculosis of penis,SNOMED,Condition
37161115,Tuberculosis of lumbosacral spine,SNOMED,Condition
37161117,Tuberculous cerebral arteritis,SNOMED,Condition
37161120,Tuberculous anterior uveitis,SNOMED,Condition
37161123,Tuberculous infection of bile duct,SNOMED,Condition
37161126,Tuberculosis of anal canal,SNOMED,Condition
